           time    cpu  task name                       wait time  sch delay   run time
                        [tid/pid]                          (msec)     (msec)     (msec)
 4282978.297593 [0001]  kworker/1:2[19058]                 39.061      0.000      0.003 
 4282978.297610 [0011]  <idle>                              0.009      0.000      0.059 
 4282978.297683 [0002]  tmux: client[27281]                 0.032      0.000      0.782 
 4282978.297713 [0011]  bash[27188]                         0.059      0.029      0.103 
 4282978.297725 [0000]  <idle>                              0.117      0.000      0.303 
 4282978.297921 [0000]  bash[27282]                         0.000      0.028      0.196 
 4282978.298087 [0000]  bash[27283]                         0.000      0.014      0.166 
 4282978.298089 [0010]  <idle>                              0.003      0.000      0.810 
 4282978.298461 [0006]  <idle>                              0.240      0.000      1.587 
 4282978.298544 [0006]  tmux: client[27269]                10.361      0.031      0.082 
 4282978.298827 [0006]  <idle>                              0.082      0.000      0.283 
 4282978.298830 [0006]  rcu_sched[8]                        3.994      0.001      0.002 
 4282978.298921 [0010]  tmux: client[27284]                 0.000      0.030      0.831 
 4282978.298976 [0001]  <idle>                              0.003      0.000      1.383 
 4282978.299053 [0001]  tmux: client[27272]                 8.572      0.031      0.076 
 4282978.299304 [0011]  <idle>                              0.103      0.000      1.590 
 4282978.299372 [0007]  <idle>                              0.104      0.000      5.650 
 4282978.299381 [0007]  bash[27264]                        13.912      0.028      0.009 
 4282978.299438 [0011]  tmux: client[27266]                 3.227      0.031      0.133 
 4282978.299465 [0007]  <idle>                              0.009      0.000      0.083 
 4282978.299582 [0007]  bash[27265]                        13.837      0.028      0.116 
 4282978.299603 [0008]  <idle>                              0.795      0.000      4.518 
 4282978.299697 [0007]  <idle>                              0.116      0.000      0.114 
 4282978.299706 [0007]  bash[27072]                        14.428      0.028      0.009 
 4282978.299746 [0008]  bash[27264]                         0.221      0.026      0.143 
 4282978.299749 [0008]  <idle>                              0.143      0.000      0.002 
 4282978.299753 [0008]  kworker/8:2[21666]                 27.010      0.000      0.003 
 4282978.299772 [0007]  <idle>                              0.009      0.000      0.066 
 4282978.299878 [0001]  <idle>                              0.076      0.000      0.825 
 4282978.299895 [0007]  bash[27072]                         0.066      0.031      0.123 
 4282978.300035 [0001]  bash[27285]                         0.000      0.002      0.156 
 4282978.300051 [0004]  <idle>                              0.144      0.000      3.782 
 4282978.300234 [0004]  bash[27286]                         0.000      0.030      0.183 
 4282978.300244 [0007]  <idle>                              0.123      0.000      0.348 
 4282978.300298 [0007]  bash[27287]                         0.000      0.035      0.054 
 4282978.300304 [0007]  migration/7[51]                    52.249      0.001      0.006 
 4282978.300328 [0002]  <idle>                              0.782      0.000      2.645 
 4282978.300401 [0006]  <idle>                              0.002      0.000      1.571 
 4282978.300442 [0008]  <idle>                              0.003      0.000      0.689 
 4282978.300455 [0008]  bash[27267]                        13.412      0.002      0.012 
 4282978.300535 [0006]  tmux: client[27269]                 1.857      0.028      0.133 
 4282978.300536 [0009]  <idle>                              0.491      0.000      6.336 
 4282978.300674 [0001]  <idle>                              0.156      0.000      0.639 
 4282978.300679 [0001]  bash[27285]                         0.639      0.029      0.005 
 4282978.300691 [0002]  date[27287]                         0.030      0.000      0.363 
 4282978.300694 [0008]  <idle>                              0.012      0.000      0.239 
 4282978.300701 [0009]  bash[27268]                        13.284      0.002      0.164 
 4282978.300720 [0004]  <idle>                              0.183      0.000      0.485 
 4282978.300789 [0001]  <idle>                              0.005      0.000      0.109 
 4282978.300798 [0001]  bash[27085]                        13.954      0.028      0.009 
 4282978.300821 [0004]  bash[27286]                         0.485      0.029      0.101 
 4282978.300842 [0008]  bash[27267]                         0.239      0.001      0.147 
 4282978.300844 [0008]  <idle>                              0.147      0.000      0.002 
 4282978.300846 [0001]  <idle>                              0.009      0.000      0.047 
 4282978.300847 [0008]  kworker/8:2[21666]                  1.090      0.000      0.002 
 4282978.300876 [0010]  <idle>                              0.831      0.000      1.955 
 4282978.300894 [0007]  <idle>                              0.060      0.000      0.590 
 4282978.300902 [0007]  bash[27072]                         0.998      0.001      0.007 
 4282978.300966 [0007]  <idle>                              0.007      0.000      0.064 
 4282978.300971 [0001]  bash[27285]                         0.166      0.030      0.125 
 4282978.301005 [0010]  bash[27085]                         0.078      0.038      0.128 
 4282978.301088 [0007]  bash[27072]                         0.064      0.001      0.121 
 4282978.301113 [0011]  <idle>                              0.133      0.000      1.675 
 4282978.301165 [0010]  bash[27288]                         0.000      0.019      0.160 
 4282978.301168 [0011]  sh[27069]                          80.940      0.029      0.055 
 4282978.301183 [0007]  <idle>                              0.121      0.000      0.094 
 4282978.301358 [0007]  bash[27289]                         0.000      0.031      0.175 
 4282978.301362 [0011]  <idle>                              0.055      0.000      0.193 
 4282978.301743 [0010]  <idle>                              0.288      0.000      0.577 
 4282978.301748 [0010]  bash[27288]                         0.577      0.028      0.005 
 4282978.301754 [0011]  date[27290]                         0.000      0.029      0.391 
 4282978.301757 [0011]  <idle>                              0.391      0.000      0.002 
 4282978.301761 [0011]  kworker/11:3[610]                  64.996      0.000      0.004 
 4282978.301782 [0007]  <idle>                              0.175      0.000      0.424 
 4282978.301872 [0007]  bash[27289]                         0.424      0.029      0.089 
 4282978.301897 [0010]  <idle>                              0.005      0.000      0.149 
 4282978.301973 [0011]  <idle>                              0.004      0.000      0.211 
 4282978.301980 [0011]  bash[27085]                         0.968      0.028      0.007 
 4282978.302018 [0010]  bash[27288]                         0.149      0.030      0.120 
 4282978.302045 [0011]  <idle>                              0.007      0.000      0.064 
 4282978.302119 [0001]  <idle>                              0.125      0.000      1.147 
 4282978.302164 [0011]  bash[27085]                         0.064      0.032      0.119 
 4282978.302164 [0005]  <idle>                              0.099      0.000      9.630 
 4282978.302167 [0011]  <idle>                              0.119      0.000      0.002 
 4282978.302171 [0011]  kworker/11:3[610]                   0.405      0.000      0.003 
 4282978.302186 [0004]  <idle>                              0.101      0.000      1.365 
 4282978.302197 [0004]  bash[27270]                        12.805      0.028      0.010 
 4282978.302220 [0005]  sh[27077]                          77.532      0.002      0.055 
 4282978.302259 [0001]  tmux: client[27272]                 3.065      0.028      0.139 
 4282978.302261 [0001]  <idle>                              0.139      0.000      0.002 
 4282978.302264 [0001]  kworker/1:2[19058]                  4.668      0.000      0.003 
 4282978.302287 [0005]  <idle>                              0.055      0.000      0.066 
 4282978.302406 [0005]  bash[27271]                        12.714      0.029      0.118 
